Municipality of residence,People,Average age
"19071 Casar, El",11450,34.46
29040 Casarabonela,2660,43.7
42055 Casarejos,205,53.39
29041 Casares,5275,40.22
10051 Casares de las Hurdes,490,56.87
41026 Casariche,5625,39.37
45041 Casarrubios del Monte,5495,37.47
28036 Casarrubuelos,3270,33.89
46087 Casas Altas,155,46.9
46088 Casas Bajas,225,54.63
16060 Casas de Benítez,960,50.93
10052 Casas de Don Antonio,190,57.28
10053 Casas de Don Gómez,335,50.22
06033 Casas de Don Pedro,1640,46.04
16061 Casas de Fernando Alonso,1420,45.88
16063 Casas de Guijarro,130,55.29
16064 Casas de Haro,885,44.76
02021 Casas de Juan Núñez,1425,43.18
02022 Casas de Lázaro,455,55.64
16065 Casas de los Pinos,570,51.55
10056 Casas de Millán,675,51.61
10057 Casas de Miravete,175,60.49
06034 Casas de Reina,210,48.39
02023 Casas de Ves,710,52.66
10054 Casas del Castañar,625,50.5
10055 Casas del Monte,780,44.67
05052 Casas del Puerto,105,55.63
45042 Casasbuenas,210,53.6
49038 Casaseca de Campeán,120,57.77
49039 Casaseca de las Chanas,405,48.2
02024 Casas-Ibáñez,4775,41.55
16066 Casasimarro,3250,42.67
05053 Casasola,90,67.77
47036 Casasola de Arión,300,53.16
10058 Casatejada,1450,42.34
05054 Casavieja,1530,46.03
22081 Casbas de Huesca,300,52.87
31068 Cascante,3870,43.48
44064 Cascante del Río,95,51.39
31069 Cáseda,1025,48.49
43041 Caseres,280,51.39
05055 Casillas,810,50.49
10059 Casillas de Coria,445,54.15
37091 Casillas de Flores,170,55.39
46089 Casinos,2835,42.09
40045 Casla,175,43.12
33015 Caso,1790,54.35
50074 Caspe,9690,41.39
19074 Caspueñas,115,45.18
17044 Cassà de la Selva,9755,39.79
08049 Casserres,1555,48.07
03053 Castalla,10305,42.27
10060 Castañar de Ibor,1160,49.64
26043 Castañares de Rioja,455,48.47
39019 Castañeda,2525,39.58
21022 Castaño del Robledo,215,45.66
18044 Cástaras,275,54.76
16067 Castejón,170,41.78
31070 Castejón,4155,41.04
50075 Castejón de Alarba,90,68.21
19075 Castejón de Henares,90,53.51
50076 Castejón de las Armas,115,57.04
22083 Castejón de Monegros,610,53.11
22084 Castejón de Sos,745,38.34
50077 Castejón de Valdejasa,265,54.66
22082 Castejón del Puente,355,48.89
44066 Castel de Cabra,140,51.63
22085 Castelflorite,130,55.13
03054 Castell de Castells,420,53.22
"03075 Castell de Guadalest, el",225,47.99
"07064 Castell, Es",7895,40.06
37092 Castellanos de Moriscos,1905,33.58
37185 Castellanos de Villiquera,640,42.87
05056 Castellanos de Zapardiel,100,54.72
23025 Castellar,3525,42
11013 Castellar de la Frontera,3160,37.65
25064 Castellar de la Ribera,160,42.94
13033 Castellar de Santiago,2175,45.9
08050 Castellar del Riu,175,38.48
08051 Castellar del Vallès,23130,38.72
"44070 Castellar, El",65,55.89
08053 Castellbell i el Vilar,3615,41.08
08054 Castellbisbal,12340,37.09
08055 Castellcir,625,37.47
25067 Castelldans,1010,46.85
08056 Castelldefels,61155,38.26
08058 Castellet i la Gornal,2245,42.17
17046 Castellfollit de la Roca,990,46.36
08060 Castellfollit de Riubregós,185,52.11
08059 Castellfollit del Boix,415,42.59
12038 Castellfort,235,50.2
08061 Castellgalí,1985,38.36
08062 Castellnou de Bages,1180,37.59
25068 Castellnou de Seana,765,44.19
12039 Castellnovo,1045,48.23
25069 Castelló de Farfanya,545,50.43
46090 Castelló de Rugat,2330,41.38
17047 Castelló d'Empúries,11310,40.79
08063 Castellolí,565,38.34
12040 Castellón de la Plana/Castelló de la Plana,175840,40.19
46091 Castellonet de la Conquesta,170,43.61
44071 Castellote,775,49.87
17048 Castell-Platja d'Aro,10410,41.08
25070 Castellserà,1090,48.26
08064 Castellterçol,2315,41.89
43042 Castellvell del Camp,2850,37.4
08065 Castellví de la Marca,1645,41.48
08066 Castellví de Rosanes,1635,38.87
44067 Castelnou,180,50.72
44068 Castelserás,835,48.2
46092 Castielfabib,300,55.78
22086 Castiello de Jaca,250,42.94
22087 Castigaleu,105,37.84
34048 Castil de Vela,70,50.15
06035 Castilblanco,1150,51.7
41027 Castilblanco de los Arroyos,5045,40.77
24042 Castilfalé,80,58.17
50078 Castiliscar,310,53.61
22088 Castillazuelo,190,54.58
41028 Castilleja de Guzmán,2810,32.79
41029 Castilleja de la Cuesta,17390,38.14
41030 Castilleja del Campo,640,42.83
18045 Castilléjar,1495,50.56
16068 Castillejo de Iniesta,185,51.45
37096 Castillejo de Martín Viejo,255,54.36
40046 Castillejo de Mesleón,140,47.93
42058 Castillejo de Robledo,135,62.07
45043 Castillo de Bayuela,990,51.84
16072 Castillo de Garcimuñoz,175,57.74
"41031 Castillo de las Guardas, El",1565,46.41
23026 Castillo de Locubín,4625,47.52
12041 Castillo de Villamalefa,115,54.92
22089 Castillonroy,360,50.26
42057 Castilruiz,215,63.92
34049 Castrejón de la Peña,455,52.62
47037 Castrejón de Trabancos,220,52.17
32022 Castrelo de Miño,1755,55.71
32021 Castrelo do Val,1160,56.29
18046 Castril,2385,47.31
24043 Castrillo de Cabrera,135,59.12
34050 Castrillo de Don Juan,245,55.52
47038 Castrillo de Duero,145,50.43
49040 Castrillo de la Guareña,130,51.91
09084 Castrillo de la Reina,215,60.81
24044 Castrillo de la Valduerna,180,61.56
09085 Castrillo de la Vega,640,46.65
34051 Castrillo de Onielo,120,54.36
34052 Castrillo de Villavega,205,52.91
09086 Castrillo del Val,685,42.3
33016 Castrillón,22925,45.09
47039 Castrillo-Tejeriego,195,56.36
32023 Castro Caldelas,1440,53.85
04033 Castro de Filabres,160,51.87
27010 Castro de Rei,5250,49.68
14019 Castro del Río,8010,42.03
47040 Castrobol,65,59.46
24046 Castrocalbón,1070,56.12
24047 Castrocontrigo,870,59.9
47041 Castrodeza,170,52.89
49041 Castrogonzalo,490,50.52
09091 Castrojeriz,790,51.2
47042 Castromembibre,75,52.85
34053 Castromocho,250,50.86
47043 Castromonte,365,53.06
49042 Castronuevo,280,56.47
47044 Castronuevo de Esgueva,380,43.97
47045 Castronuño,960,50.88
24049 Castropodame,1780,48.1
33017 Castropol,3700,49.23
47046 Castroponce,160,51.68
24050 Castrotierra de Valmadrigal,100,60.47
39020 Castro-Urdiales,32230,39.08
27011 Castroverde,2880,52.91
49043 Castroverde de Campos,365,55.32
47047 Castroverde de Cerrato,250,54.57
06036 Castuera,6275,43.29
46093 Catadau,2760,41.4
46094 Catarroja,27550,38.25
12042 Catí,830,48.43
"43043 Catllar, El",4165,39.27
36010 Catoira,3500,44.35
03055 Catral,8575,40.05
02025 Caudete,10375,40.38
46095 Caudete de las Fuentes,760,48.33
12043 Caudiel,725,48.58
09063 Cavia,265,43.75
09093 Cayuela,195,40.42
45045 Cazalegas,1825,41.43
23027 Cazalilla,810,41.68
41032 Cazalla de la Sierra,5045,42.38
23028 Cazorla,7905,42.82
49044 Cazurra,80,57.21
24051 Cea,520,56.55
24052 Cebanico,190,52.83
45046 Cebolla,3735,39.53
05057 Cebreros,3455,45.15
24053 Cebrones del Río,545,55.52
10061 Ceclavín,2015,48.71
15022 Cedeira,7245,47.78
10062 Cedillo,495,48.27
40052 Cedillo de la Torre,125,50.93
45047 Cedillo del Condado,3390,35.54
44074 Cedrillas,590,41.26
15023 Cee,7855,44.7
30017 Cehegín,15840,41.18
47048 Ceinos de Campos,260,51.42
09095 Celada del Camino,95,56.32
44075 Celadas,415,47.9
32024 Celanova,5765,50.83
44076 Cella,2880,46.36
"17189 Cellera de Ter, La",2045,43.57
17049 Celrà,4835,35.18
31193 Cendea de Olza/Oltza Zendea,1730,40.04
19080 Cendejas de Enmedio,95,58.12
18047 Cenes de la Vega,7845,35.31
26046 Cenicero,2060,45.13
28037 Cenicientos,2065,44.97
02026 Cenizate,1245,42.44
32025 Cenlle,1325,55.56
08067 Centelles,7285,41.34
19082 Centenera,105,53.46
37098 Cepeda,375,53.61
15024 Cerceda,5340,48.93
28038 Cercedilla,6770,40.71
08268 Cercs,1310,48.46
46096 Cerdà,405,39.69
08266 Cerdanyola del Vallès,56865,40.36
36011 Cerdedo,1850,54.54
15025 Cerdido,1305,53.38
49046 Cerecinos de Campos,330,51.54
49047 Cerecinos del Carrizal,130,58.23
37100 Cerezal de Peñahorcada,90,73.6
10063 Cerezo,185,54.55
40053 Cerezo de Abajo,150,49.43
40054 Cerezo de Arriba,190,42.58
09098 Cerezo de Río Tirón,605,51.93
49048 Cernadilla,160,62.86
"44077 Cerollera, La",110,43.85
37101 Cerralbo,195,62.97
"45048 Cerralbos, Los",460,47.74
"21023 Cerro de Andévalo, El",2410,46.75
"37102 Cerro, El",445,57.08
27012 Cervantes,1600,57.13
34055 Cervatos de la Cueza,310,52.46
08068 Cervelló,8450,39.29
25072 Cervera,9370,39.46
28039 Cervera de Buitrago,180,49.39
50079 Cervera de la Cañada,320,51.44
45049 Cervera de los Montes,475,45.79
34056 Cervera de Pisuerga,2510,46.84
16073 Cervera del Llano,265,47.47
12044 Cervera del Maestre,685,51.19
26047 Cervera del Río Alhama,2555,48.3
25073 Cervià de les Garrigues,760,49.01
17050 Cervià de Ter,900,41.02
47049 Cervillego de la Cruz,100,54.54
27013 Cervo,4495,46.96
37103 Cespedosa de Tormes,575,50.58
50081 Cetina,680,52.18
51001 Ceuta,83185,35.88
30018 Ceutí,10780,35.41
34057 Cevico de la Torre,425,50.74
34058 Cevico Navero,220,58.34
37114 Chagarcía Medianero,95,59.14
22094 Chalamera,120,50.65
05067 Chamartín,90,54.42
32029 Chandrexa de Queixa,590,57.11
27016 Chantada,8635,49.24
40065 Chañe,920,43.81
28051 Chapinería,2110,40.23
18059 Chauchina,5120,37.41
19103 Checa,330,53.76
06042 Cheles,1225,42.59
46107 Chella,2755,44.09
46106 Chelva,1665,47.03
46108 Chera,590,54
04036 Chercos,300,46.71
12052 Chert/Xert,845,50.73
46109 Cheste,8530,41.23
11015 Chiclana de la Frontera,80655,36.71
23029 Chiclana de Segura,1110,46.53
12053 Chilches/Xilxes,2855,41.84
16023 Chillarón de Cuenca,605,40.21
13038 Chillón,1960,46.18
23030 Chilluévar,1630,43.2
19105 Chiloeches,3140,36.3
18061 Chimeneas,1445,43.76
22096 Chimillas,370,41.75
02029 Chinchilla de Monte-Aragón,4070,40.57
28052 Chinchón,5220,41.18
11016 Chipiona,18805,38.06
50092 Chiprana,470,45.89
04037 Chirivel,1780,49.72
46111 Chiva,14880,38.36
50093 Chodes,145,52.97
12055 Chodos/Xodos,125,55.71
12056 Chóvar,355,49.28
24065 Chozas de Abajo,2350,46.78
45056 Chozas de Canales,4070,34.35
21030 Chucena,2140,40.08
45057 Chueca,270,45.36
46112 Chulilla,710,50.1
18062 Churriana de la Vega,13065,35.09
09101 Ciadoncha,70,57.35
42061 Cidones,345,49.02
28040 Ciempozuelos,21735,35.68
30019 Cieza,35085,38.98
39021 Cieza,600,51.16
19086 Cifuentes,1990,44.99
47050 Cigales,4765,36.36
47051 Ciguñuela,400,44.3
26049 Cihuri,225,47.05
18048 Cijuela,3105,34.88
05059 Cillán,115,55.43
10064 Cilleros,1780,48.5
09103 Cilleruelo de Abajo,270,56.16
39022 Cillorigo de Liébana,1340,43.7
24054 Cimanes de la Vega,545,52.17
24055 Cimanes del Tejar,805,54.43
50082 Cimballa,120,62.24
50083 Cinco Olivas,120,36.5
12045 Cinctorres,475,48.3
31072 Cintruénigo,7740,39
37106 Cipérez,305,53.42
12046 Cirat,260,56.71
31074 Cirauqui/Zirauki,505,45.81
42064 Ciria,100,53.35
31075 Ciriza/Ziritza,85,48.5
19088 Ciruelas,120,49.21
45050 Ciruelos,660,36.48
09105 Ciruelos de Cervera,115,56.84
26050 Cirueña,130,54.76
05060 Cisla,140,56.57
34059 Cisneros,445,52.63
17051 Cistella,270,44.07
47052 Cistérniga,8375,34.67
24056 Cistierna,3615,48.08
13034 Ciudad Real,74865,39.68
37107 Ciudad Rodrigo,13170,45.32
07015 Ciutadella de Menorca,29425,39.41
25074 Ciutadilla,205,49.46
31076 Cizur,3610,32.37
50084 Clarés de Ribota,90,61.68
25075 Clariana de Cardener,140,41.59
26051 Clavijo,295,46.56
33018 Coaña,3455,47.52
04034 Cóbdar,160,49.27
45051 Cobeja,2345,37.31
28041 Cobeña,6615,34.25
19090 Cobeta,130,62.75
45052 Cobisa,4120,33.46
34060 Cobos de Cerrato,160,53.14
49050 Cobreros,615,54.49
40057 Coca,1945,45.4
37108 Coca de Alba,105,58.61
03056 Cocentaina,11420,43.21
50085 Codo,205,55.84
"44080 Codoñera, La",365,48.07
40058 Codorniz,395,53.03
50086 Codos,235,54.63
"06037 Codosera, La",2290,48.02
46097 Cofrentes,1010,47.03
47053 Cogeces de Íscar,160,48.66
47054 Cogeces del Monte,795,52.1
09108 Cogollos,490,41.19
18049 Cogollos de Guadix,730,46.3
18050 Cogollos de la Vega,2025,41.85
19092 Cogolludo,655,46.57
"25076 Cogul, El",195,50.74
29042 Coín,21610,38.36
15027 Coirós,1755,47.8
17054 Colera,535,47.58
32026 Coles,3130,49.5
"05061 Colilla, La",340,39.81
39023 Colindres,8110,40.18
25077 Coll de Nargó,595,48.31
05062 Collado de Contreras,235,52.05
10065 Collado de la Vera,165,47.48
40059 Collado Hermoso,160,49.07
28046 Collado Mediano,6620,37.61
28047 Collado Villalba,60740,37.39
34061 Collazos de Boedo,130,53.07
08069 Collbató,4250,36.55
43045 Colldejou,175,44.83
08070 Collsuspina,345,42.62
29043 Colmenar,3540,41.65
37109 Colmenar de Montemayor,200,54.13
28043 Colmenar de Oreja,8240,39.66
28042 Colmenar del Arroyo,1450,40.24
28045 Colmenar Viejo,45560,37.16
28044 Colmenarejo,8605,35.15
18051 Colomera,1485,42.13
17055 Colomers,200,48.38
33019 Colunga,3630,51.94
22090 Colungo,125,58.67
"25163 Coma i la Pedra, La",270,46.79
29044 Comares,1510,52.03
39024 Comillas,2335,45.78
29045 Cómpeta,3620,46.33
25161 Conca de Dalt,425,51.3
40060 Condado de Castilnovo,95,51.56
09109 Condado de Treviño,1440,37.19
19096 Condemios de Arriba,145,52.53
43046 Conesa,130,55.69
03057 Confrides,285,52.37
24057 Congosto,1650,49.31
34062 Congosto de Valdavia,185,56.28
11014 Conil de la Frontera,21755,38.32
14020 Conquista,435,51.21
10066 Conquista de la Sierra,210,47.69
07016 Consell,3755,38.47
43047 Constantí,6715,37.82
41033 Constantina,6325,42.01
05064 Constanzana,125,50.15
45053 Consuegra,10775,42.05
49052 Coomonte,220,55.44
08071 Copons,330,42.26
44082 Corbalán,105,47.02
46098 Corbera,3310,42.56
08072 Corbera de Llobregat,13855,37.02
43048 Corbera d'Ebre,1170,46.21
24058 Corbillos de los Oteros,230,59.08
25078 Corbins,1400,42.1
47055 Corcos,225,50.21
15028 Corcubión,1720,45.47
17057 Corçà,1285,44.01
14021 Córdoba,327205,40.69
06038 Cordobilla de Lácara,990,45.2
37110 Cordovilla,115,54.36
34063 Cordovilla la Real,130,52.33
26052 Cordovín,185,58.11
19099 Corduente,400,51.87
31077 Corella,7860,41.38
26053 Corera,270,47.26
49053 Coreses,1120,48.87
"27014 Corgo, O",3820,52.89
10067 Coria,12790,40.95
41034 Coria del Río,29800,37.39
41035 Coripe,1395,45.12
15029 Coristanco,6980,49.5
26054 Cornago,410,57.36
08073 Cornellà de Llobregat,86205,41.54
17056 Cornellà del Terri,2220,42.46
43049 Cornudella de Montsant,1015,44.89
"06039 Coronada, La",2255,42.09
"41036 Coronil, El",5010,41.73
28048 Corpa,630,39.54
45054 Corral de Almaguer,5965,43.02
40061 Corral de Ayllón,90,58.42
13035 Corral de Calatrava,1170,46.74
"39025 Corrales de Buelna, Los",11465,42.53
49054 Corrales del Vino,1085,51.58
"41037 Corrales, Los",4080,39.26
02027 Corral-Rubio,405,50.85
06040 Corte de Peleas,1320,40.53
21024 Corteconcepción,585,46.45
32027 Cortegada,1280,52.55
21025 Cortegana,4840,42.97
21026 Cortelazor,295,45.62
31078 Cortes,3250,44.05
44084 Cortes de Aragón,70,50.96
12048 Cortes de Arenoso,350,47.59
18053 Cortes de Baza,2205,49.34
29046 Cortes de la Frontera,3515,42.56
46099 Cortes de Pallás,1005,52.42
18054 Cortes y Graena,1055,45.29
"13036 Cortijos, Los",970,50.24
24059 Corullón,1065,56.98
09112 Coruña del Conde,125,59.12
"15030 Coruña, A",244295,44.99
33020 Corvera de Asturias,16190,43.68
39026 Corvera de Toranzo,2150,45.37
42068 Coscurita,105,57.37
28049 Coslada,89070,39.61
27015 Cospeito,5070,51.91
07017 Costitx,1115,44.05
12049 Costur,595,44.07
50088 Cosuenda,395,50.47
49055 Cotanes del Monte,125,52.57
46100 Cotes,385,45.08
02028 Cotillas,155,48.15
36012 Cotobade,4395,49.19
42069 Covaleda,1855,48.05
09113 Covarrubias,630,51.13
36013 Covelo,2840,53.26
"12050 Coves de Vinromà, les",1990,46.32
03058 Cox,6975,38.72
13037 Cózar,1140,48.13
40902 Cozuelos de Fuentidueña,155,59.18
36014 Crecente,2210,52.39
43050 Creixell,3325,41.27
24060 Crémenes,640,58.79
17058 Crespià,260,43.76
05065 Crespos,535,49.5
44086 Cretas,590,49.85
03059 Crevillent,28235,38.79
06041 Cristina,555,41.52
37112 Cristóbal,180,51.81
44087 Crivillén,90,55.37
"17901 Cruïlles,  Monells i Sant Sadurní de l'Heura",1235,43.21
10068 Cuacos de Yuste,895,47.35
24061 Cuadros,1975,47.56
32028 Cualedro,1930,56.42
50089 Cuarte de Huerva,10120,31.57
28050 Cubas de la Sagra,5175,33.16
50090 Cubel,190,52.61
08074 Cubelles,14135,39.42
25079 Cubells,400,50.03
34066 Cubillas de Cerrato,70,60.49
24062 Cubillas de los Oteros,155,55.93
24063 Cubillas de Rueda,500,55.52
47057 Cubillas de Santa Marta,275,47.46
"19102 Cubillo de Uceda, El",175,51.09
09114 Cubillo del Campo,100,49.74
49056 Cubillos,350,55.33
24064 Cubillos del Sil,1850,44.07
49057 Cubo de Benavente,130,58.01
09115 Cubo de Bureba,105,55.47
"37113 Cubo de Don Sancho, El",485,50.29
42071 Cubo de la Solana,185,65.53
"49058 Cubo de Tierra del Vino, El",395,49.8
44090 Cucalón,105,53.48
33021 Cudillero,5640,50.57
49059 Cuelgamures,110,58.12
40063 Cuéllar,9665,43.61
16078 Cuenca,55780,40.24
47058 Cuenca de Campos,220,53.34
45055 Cuerva,1515,43.23
"41903 Cuervo de Sevilla, El",8670,37.04
"44092 Cuervo, El",90,56.77
"09117 Cueva de Roa, La",100,66.69
29047 Cuevas Bajas,1475,42.33
44093 Cuevas de Almudén,150,40.77
40905 Cuevas de Provanco,150,55.65
29049 Cuevas de San Marcos,4020,42.22
04035 Cuevas del Almanzora,13100,39.03
29048 Cuevas del Becerro,1750,44.73
18912 Cuevas del Campo,1970,45.41
05066 Cuevas del Valle,540,49.07
44094 Cuevas Labradas,125,57.92
12051 Culla,605,55.2
18056 Cúllar,4540,45.76
18057 Cúllar Vega,6995,34.64
46105 Cullera,22600,42.64
15031 Culleredo,29345,40.36
"10069 Cumbre, La",930,49.83
21028 Cumbres de San Bartolomé,440,53.85
21029 Cumbres Mayores,1900,44.45
43051 Cunit,12390,40.77
36015 Cuntis,4990,47.92
47059 Curiel de Duero,130,51.87
15032 Curtis,4045,48.38
29050 Cútar,640,50.65
26056 Cuzcurrita de Río Tirón,510,49.09
28053 Daganzo de Arriba,9470,32.57
13039 Daimiel,18450,41.33
46113 Daimús,3075,40.59
04038 Dalías,3990,41.08
17060 Darnius,530,48.09
50094 Daroca,2150,45.58
18063 Darro,1505,36.46
17061 Das,225,44.28
03061 Daya Nueva,1895,43.49
03062 Daya Vieja,595,54.29
20029 Deba,5400,43.49
33022 Degaña,1175,43.93
34067 Dehesa de Montejo,140,59.06
18064 Dehesas de Guadix,485,45.6
18066 Deifontes,2580,41.07
10070 Deleitosa,810,51.14
43901 Deltebre,12025,42.65
03063 Dénia,42635,41.41
48901 Derio,5545,41.97
10071 Descargamaría,180,54.69
31079 Desojo,95,58
24066 Destriana,595,57.68
42075 Dévanos,95,67.17
07018 Deià,685,45.31
42076 Deza,260,55.64
31080 Dicastillo,690,48.5
05903 Diego del Carpio,175,60.31
18067 Diezma,810,41.65
18068 Dílar,1820,41.34
48026 Dima,1335,43.27
37115 Dios le Guarde,155,54.26
15033 Dodro,2985,47.05
18069 Dólar,620,47.68
03064 Dolores,7305,40.4
46114 Domeño,715,40.81
45058 Domingo Pérez,475,52.11
06043 Don Álvaro,760,42.64
06044 Don Benito,36640,38.9
31081 Donamaria,415,39.13
31221 Doneztebe/Santesteban,1660,39.99
40069 Donhierro,115,46.42
05069 Donjimeno,95,53.02
20069 Donostia/San Sebastián,184425,44.9
14022 Doña Mencía,4965,42.39
37117 Doñinos de Salamanca,1685,33.8
46115 Dos Aguas,505,47.86
41038 Dos Hermanas,128010,36.39
14023 Dos Torres,2505,43.51
45059 Dosbarrios,2345,41.92
08075 Dosrius,5165,37.86
36016 Dozón,1270,53.96
19107 Driebes,415,51.27
18070 Dúdar,325,42.39
34069 Dueñas,2805,45.73
43053 Duesaigües,240,48.34
15034 Dumbría,3315,48.02
48027 Durango,28240,41.52
18071 Dúrcal,7255,39.27
19108 Durón,120,52.15
40070 Duruelo,175,45.53
42078 Duruelo de la Sierra,1290,48.84
48028 Ea,870,49.19
31083 Echarri,70,31.85
41039 Écija,40415,38.26
31086 Egüés,17185,30.9
20030 Eibar,27180,45.86
07026 Eivissa,48245,38.01
50095 Ejea de los Caballeros,16945,42.21
37118 Ejeme,150,52.95
"04902 Ejido, El",80785,34.41
44096 Ejulve,205,51.96
48031 Elantxobe,410,51.65
01021 Elburgo/Burgelu,615,38.54
02030 Elche de la Sierra,3935,43.89
03065 Elche/Elx,226815,39.31
01022 Elciego,1050,44.57
03066 Elda,54075,41.85
20031 Elduain,230,40.81
20033 Elgeta,1110,42.33
20032 Elgoibar,11300,44.17
31087 Elgorriaga,210,42.28
"46116 Eliana, l'",16955,39.15
10072 Eljas,980,52.66
48032 Elorrio,7185,43.76
01023 Elvillar/Bilar,365,44.38
46117 Emperador,630,35.4
37120 Encina de San Silvestre,115,47.36
"37119 Encina, La",120,54.39
50098 Encinacorba,240,56.45
37121 Encinas de Abajo,625,47.38
37122 Encinas de Arriba,250,43.37
47060 Encinas de Esgueva,285,54.06
14024 Encinas Reales,2370,41.36
21031 Encinasola,1480,48.56
37123 Encinasola de los Comendadores,215,61.74
24067 Encinedo,800,51.05
40072 Encinillas,220,34.92
26058 Enciso,165,50.19
37124 Endrinal,255,53.71
31089 Enériz/Eneritz,360,41.74
46118 Enguera,5345,42.75
16082 Enguídanos,370,54.86
04041 Enix,425,48.03
"46119 Ènova, l'",1000,46.51
49061 Entrala,160,51.03
39028 Entrambasaguas,4635,38.64
26059 Entrena,1510,43.18
32030 Entrimo,1335,56.02
06045 Entrín Bajo,610,46.85
50099 Épila,4705,40.86
48902 Erandio,24200,42.53
31090 Eratsun,165,51.84
"24068 Ercina, La",535,56.45
48033 Ereño,260,49.18
31091 Ergoiena,400,54.35
50100 Erla,405,52.93
48034 Ermua,16190,43.9
20067 Errenteria,39135,43.74
20066 Errezil,610,44.09
01046 Erriberagoitia/Ribera Alta,785,43.79
48079 Errigoiti,545,47.32
31092 Erro,785,46.51
45060 Erustes,240,47.03
21032 Escacena del Campo,2165,40.94
"17062 Escala, L'",10085,42.67
39029 Escalante,755,47.88
45061 Escalona,3380,42.5
40073 Escalona del Prado,585,47.92
45062 Escalonilla,1535,43.31
23031 Escañuela,980,40.99
40074 Escarabajosa de Cabezas,340,47.75
19111 Escariche,205,52.96
50101 Escatrón,1125,48.05
40075 Escobar de Polendos,215,51.61
"28054 Escorial, El",14760,40.1
44097 Escorihuela,185,62.73
44099 Escucha,985,41.6
10073 Escurial,805,48.05
37125 Escurial de la Sierra,265,54.43
18072 Escúzar,805,44.38
32031 Esgos,1195,53.4
47061 Esguevillas de Esgueva,280,53.8
20034 Eskoriatza,4000,42.57
31094 Eslava,125,49.04
12057 Eslida,915,41.27
49062 Espadañedo,150,53.13
12058 Espadilla,115,45.54
06046 Esparragalejo,1535,43.55
06047 Esparragosa de la Serena,1070,44.75
06048 Esparragosa de Lares,1015,49.19
08076 Esparreguera,21785,38.88
41040 Espartinas,13985,33.55
31095 Esparza de Salazar/Espartza Zaraitzu,90,57.35
37127 Espeja,265,54.96
42080 Espeja de San Marcelino,185,58.06
14025 Espejo,3570,46.62
42081 Espejón,195,51.65
23032 Espelúy,735,40.84
11017 Espera,3955,40.56
14026 Espiel,2355,41.32
"40076 Espinar, El",9670,38.77
17063 Espinelves,200,48.34
37128 Espino de la Orbada,285,52.27
34070 Espinosa de Cerrato,190,63.42
19113 Espinosa de Henares,785,42.21
05072 Espinosa de los Caballeros,110,46.75
09124 Espinosa de los Monteros,1910,46.52
34071 Espinosa de Villagonzalo,225,53.54
45063 Espinoso del Rey,565,55.66
40077 Espirdo,1025,33.25
"25081 Espluga Calba, L'",425,49.9
"43054 Espluga de Francolí, L'",3775,42.67
08077 Esplugues de Llobregat,45895,42.71
22099 Esplús,585,52.14
17064 Espolla,410,48.53
17065 Esponellà,440,41.82
07020 Esporles,4845,40.52
25082 Espot,345,42.77
31096 Espronceda,130,55.14
"08078 Espunyola, L'",260,52.19
45064 Esquivias,5455,37.65
22102 Estada,230,49.86
22103 Estadilla,850,47.81
25088 Estamariu,120,51.41
"08079 Estany, L'",380,47.73
25085 Estaràs,165,48.74
31097 Estella-Lizarra,13900,43.01
07021 Estellencs,365,49.89
41041 Estepa,12645,38.49
09125 Estépar,700,54.51
29051 Estepona,64010,38.83
44100 Estercuel,265,43.6
31098 Esteribar,2320,39.03
25086 Esterri d'Àneu,860,42.03
46120 Estivella,1315,42.24
26060 Estollo,100,56.77
22105 Estopiñán del Castillo,160,51.58
"36017 Estrada, A",21585,46.36
"45065 Estrella, La",310,64.26
28055 Estremera,1335,40.3
46121 Estubeny,130,51.56
31099 Etayo,80,51.06
31082 Etxalar,815,43.64
31084 Etxarri-Aranatz,2490,41.94
31085 Etxauri,580,40.68
48029 Etxebarri,10230,38.43
48030 Etxebarria,805,44.56
31100 Eulate,335,49.38
31101 Ezcabarte,1685,39.28
26061 Ezcaray,2015,44.22
31093 Ezcároz/Ezkaroze,340,50.99
20035 Ezkio-Itsaso,625,42.99
31102 Ezkurra,165,50.74
50102 Fabara,1240,47.95
24070 Fabero,5105,45.36
03067 Facheca,100,52.79
31104 Falces,2510,46.25
43055 Falset,2875,42.23
22107 Fanlo,120,48.33
12059 Fanzara,340,48.31
"17005 Far d'Empordà, El",555,39.72
29052 Faraján,285,50.95
49063 Faramontanos de Tábara,400,57.49
49064 Fariza,600,59.51
50104 Farlete,425,52.05
25089 Farrera,140,39.57
38012 Fasnia,2900,45.52
"43056 Fatarella, La",1100,50.95
46122 Faura,3520,41.3
46123 Favara,2280,39.4
50105 Fayón,370,51.85
"50106 Fayos, Los",150,62.63
07022 Felanitx,17835,41.21
04043 Felix,665,46.82
15035 Fene,13760,46.73
02031 Férez,735,48.19
06049 Feria,1275,47.31
49065 Fermoselle,1385,53.51
13040 Fernán Caballero,1115,47.92
14027 Fernán-Núñez,9800,41.54
18074 Ferreira,350,49.57
49066 Ferreras de Abajo,535,52.93
49067 Ferreras de Arriba,450,58.19
07023 Ferreries,4650,38.74
49068 Ferreruela,545,55.4
15036 Ferrol,71210,46.63
08134 Figaró-Montmany,1030,39.66
25908 Fígols i Alinyà,275,50.71
"43058 Figuera, La",125,52.68
17066 Figueres,44200,38.7
43059 Figuerola del Camp,340,42.88
12060 Figueroles,565,45.39
49069 Figueruela de Arriba,420,64.63
50107 Figueruelas,1275,40.25
