Municipality of residence,People,Average age
06006 Alburquerque,5580,44.41
45004 Alcabón,755,44.32
02006 Alcadozo,730,45.6
50013 Alcalá de Ebro,285,46.01
41004 Alcalá de Guadaíra,73035,36.92
22014 Alcalá de Gurrea,290,56.09
28005 Alcalá de Henares,198945,39.08
44012 Alcalá de la Selva,495,45
16008 Alcalá de la Vega,115,62.52
11001 Alcalá de los Gazules,5515,39.09
50014 Alcalá de Moncayo,190,49.45
12004 Alcalà de Xivert,7800,43.33
02007 Alcalá del Júcar,1335,51.42
22015 Alcalá del Obispo,370,49.41
41005 Alcalá del Río,11450,37.37
11002 Alcalá del Valle,5285,40.44
23002 Alcalá la Real,22645,42.75
03006 Alcalalí,1335,54.37
22016 Alcampell,745,55.4
26007 Alcanadre,740,47.89
43004 Alcanar,10355,42.29
25010 Alcanó,235,49.85
10008 Alcántara,1555,47.24
30005 Alcantarilla,41335,37.16
46016 Alcàntera de Xúquer,1380,42.86
16009 Alcantud,85,59.47
49003 Alcañices,1115,48.72
44013 Alcañiz,16285,40.19
45005 Alcañizo,315,50.63
14003 Alcaracejos,1470,44.77
02008 Alcaraz,1560,44.93
25011 Alcarràs,8615,37.85
46015 Alcàsser,9460,39.42
29002 Alcaucín,2645,48.93
23003 Alcaudete,11070,42.82
45006 Alcaudete de la Jara,2010,44.31
13005 Alcázar de San Juan,31510,40.04
16010 Alcázar del Rey,190,55.41
47005 Alcazarén,715,43.01
"30902 Alcázares, Los",15630,38.8
13006 Alcoba,700,47.86
28006 Alcobendas,109975,38.47
19009 Alcocer,325,53.69
03007 Alcocer de Planes,220,45.06
04007 Alcolea,910,44.95
13007 Alcolea de Calatrava,1600,45.04
22017 Alcolea de Cinca,1130,46.4
45007 Alcolea de Tajo,915,44.57
19011 Alcolea del Pinar,375,51.94
41006 Alcolea del Río,3410,39.59
03008 Alcoleja,195,49.35
25012 Alcoletge,3070,37.89
10009 Alcollarín,260,51.94
42006 Alconaba,195,44.82
37012 Alconada,165,49.76
06007 Alconchel,1870,43.65
16012 Alconchel de la Estrella,130,57.28
06008 Alconera,750,45.23
04008 Alcóntar,625,48.29
"12005 Alcora, l'",10695,40.54
28007 Alcorcón,166610,41.15
44014 Alcorisa,3460,41.23
19013 Alcoroches,145,46
43005 Alcover,5090,39.74
03009 Alcoy/Alcoi,60405,42.42
22018 Alcubierre,425,50.96
42007 Alcubilla de Avellaneda,155,57.75
49004 Alcubilla de Nogales,145,64.13
13008 Alcubillas,560,49.61
46018 Alcublas,770,50.68
07003 Alcúdia,18915,38.02
"46020 Alcúdia de Crespins, l'",5195,40.56
04009 Alcudia de Monteagud,160,50.32
12006 Alcudia de Veo,220,45.23
"46019 Alcúdia, l'",11395,41.02
10010 Alcuéscar,2700,44.75
46021 Aldaia,30530,38.31
47006 Aldea de San Miguel,235,48.23
"35020 Aldea de San Nicolás, La",8515,40.68
10012 Aldea del Cano,690,52.01
28008 Aldea del Fresno,2545,40.35
37015 Aldea del Obispo,355,53.78
"10013 Aldea del Obispo, La",335,51.31
13009 Aldea del Rey,1915,48.22
45008 Aldea en Cabo,210,50.3
40012 Aldea Real,345,49.62
"43904 Aldea, L'",4440,41.05
10011 Aldeacentenera,700,48.88
37013 Aldeacipreste,135,55.47
37014 Aldeadávila de la Ribera,1355,51.57
37016 Aldealengua,665,41.9
40007 Aldealengua de Pedraza,95,56.55
40008 Aldealengua de Santa María,85,42.37
47007 Aldeamayor de San Martín,4520,35.12
45009 Aldeanueva de Barbarroya,650,55.95
26008 Aldeanueva de Ebro,2785,42.95
37017 Aldeanueva de Figueroa,290,53.98
19015 Aldeanueva de Guadalajara,100,55.47
37018 Aldeanueva de la Sierra,130,50.49
10014 Aldeanueva de la Vera,2200,46.64
45010 Aldeanueva de San Bartolomé,510,61.86
05007 Aldeanueva de Santa Cruz,135,55.81
10015 Aldeanueva del Camino,745,49.16
40010 Aldeanueva del Codonal,150,58.55
23004 Aldeaquemada,545,46.94
37019 Aldearrodrigo,165,53.63
37020 Aldearrubia,525,48.92
05008 Aldeaseca,255,50.7
37021 Aldeaseca de Alba,90,55.08
37022 Aldeaseca de la Frontera,320,51.11
37023 Aldeatejada,1475,38.45
37024 Aldeavieja de Tormes,105,49.03
10016 Aldehuela de Jerte,370,44.48
37025 Aldehuela de la Bóveda,300,47.76
37026 Aldehuela de Yeltes,215,56.85
"05010 Aldehuela, La",205,54.84
18010 Aldeire,665,49.11
43006 Aldover,955,47.99
30006 Aledo,1020,45.42
20005 Alegia,1765,40.81
01001 Alegría-Dulantzi,2850,35.65
"43007 Aleixar, L'",910,40.57
08003 Alella,9285,40.86
